Name,Category,Address,Latitude,Longitude
Diani Backpackers,2-star hotel,,-4.341119,39.560823
Tranquil Villa,Hotel,,-4.2797626,39.5946958
Kivulini Bahari Villas,Hotel,Tudor,-4.061847,39.686696
LaSpaDiani,4-star hotel,,-4.3223241,39.5621214
Qua Bruce Villas,3-star hotel,,-4.3080718,39.5776636
Villa Mirinalek,Villa,Anthony Sorgic Po. b o x 5128,-4.3180361,39.5647157
Mkelekele House,Hotel,,-4.243797,39.600954
Swahili Oasis,Villa,,-4.2973125,39.5788732
Diani Marine_5*PADI Scuba diving school & ACCOMMODATION,Hotel,Diani Beach Road,-4.3122814,39.5771779
Ringo Golden Villa,Villa,QH3R+8F,-4.2466624,39.5912477
Rosis palm house,Villa,PH68+R47,-4.2879617,39.5652842
Twiga Lodge,4-star hotel,,-4.2404172,39.6026818
Manyatta Villas and Apartments,3-star hotel,,-4.3211803,39.5724086
Ocean Village Club,4-star hotel,,-4.3324398,39.569562
Villa Office,Real estate rental agency,"Darling, Ukunda, Ukunda-Ramisi Rd",-4.2671089,39.5693074
Rafiki Villaz,Villa,Diani Beach Road,-4.2849268,39.5850352
Tulia Eco Garden,Hotel,,-4.3124264,39.5178807
Diani Marine Divers Village,4-star hotel,,-4.3122353,39.5773735
Leopard Beach Resort and Spa,Hotel,,-4.2841087,39.5892313
Shamba La Salama,Villa,,-4.38334,39.551688
Sky B&B by Keya Homestays,Hotel,Diani Beach Road,-4.3087951,39.5770856
Villa Usawa,Villa,PHQV+GW6,-4.2611148,39.5947615
"Kenya Luxury Villa Beachfront in Msambweni, AC, 3BDRS, Infinity pool",,,-4.4775801,39.4823799
Msambweni Beach House and Private Villas - Villa with Sea View,,,-4.5080199,39.4693108
"Villa m. Pool, Tropischen Garten & ca 7 Minuten zum Herrlichen Weißen Sandstrand",,,-4.4697351,39.4816551
Kaskazi Beach house,Villa,,-4.47649,39.4622002
"Villa m. Pool, Tropischen Garten  ca 7 Minuten zum Herrlichen Weißen Sandstrand",,,-4.4697299,39.4816513
Amani Paradise - Luxury Villas,Villa,,-4.3610401,39.5552711
Private villa in Lamu style with private pool and cook/ staff 250 m to the beach,Villa,,-4.3287382,39.5683556
Saffron Villas,Villa,,-4.3134298,39.5764694
10 minutes to the beach! Villa Sultanas Luxury Villa with private swimming pool,Villa,,-4.3238988,39.5709305
ZANA DIANI VILLAS. LUXURIOUS 2 BEDROOM VILLA 10 MIN FROM THE BEACH,Villa,,-4.325942,39.5646095
ZANA DIANI VILLAS. LUXURIOUS 3 BEDROOM PRIVATE VILLA 10 min from the beach,Villa,,-4.3260012,39.5645752
3 Bedroom Luxury Villa-Sita in Diani,Villa,,-4.3878798,39.5421104
New beautiful villa in great location only 2 minutes to exotic white sandy beach,Villa,,-4.3542991,39.5599327
Tahira Villa - Villa with Private Pool,Villa,,-4.36378,39.5573082
Black Pearl - Luxury Villa with private pool - near beach,,,-4.3573699,39.55756
5 Bedroom Luxury Villa In Diani,,,-4.34339,39.5613899
Villas Dora and Holly,Villa,,-4.36273,39.5531693
Al Mahali Villas Diani Beach,Villa,,-4.3642702,39.5603905
Malaika Holiday Villas,Villa,,-4.3492699,39.5568199
Villa Black Pearl,,,-4.3572021,39.557312
"Luxury Private Villas in Diani Beach, Mombasa Kenya",,,-4.326005,39.5632133
"Artistic Dreamscape 4br Villa Diani Beach, 5 minutes walk to the white beach",,,-4.3489318,39.5617142
"The Ultimate Villa in an Ideal Location, Kwale County Villa 1000",,,-4.3629298,39.5525513
"South Fork Diani, 3 bedroom with pool.",,,-4.3418665,39.5571823
Grand Amber Villas Diani,,,-4.3562889,39.5583229
BLUE WATER VILLAS,,,-4.3658409,39.5525093
Marabi Luxury Villa,,,-4.350872,39.561058
Diani Beach | Kenya | Luxury Swahili Beach Villas at Lantana Galu Beach,,,-4.3647299,39.5598984
Villa Black Pearl,,,-4.3572021,39.557312
3 Bedroom Luxurious Villa in Diani,,,-4.3881898,39.5422058
3-bedroom villa in enchanting Diani Beach with AC,,,-4.3286018,39.5697937
Amber Villas Diani,Villa,,-4.35707,39.5591698
Oasis Diani Beach Villas - Two-Bedroom Villa,,,-4.3200998,39.5690384
Oasis Villas- Diani Beach -5 mins walk to the Beach!,Villa,,-4.3198299,39.5719109
"Villa LeoMar: Exclusive vacation home with pool & garden, 350 m from the beach",Villa,,-4.3564572,39.5566673
