Name,Category,Address,Latitude,Longitude
Mpambe Apartments,Apartment complex,1316 ukunda,-4.2884101,39.5733184
Indian Ocean Apartments,Apartment building,PH8C+H5H,-4.2835625,39.5704844
Diani Place Fully Furnished Apartments,Apartment building,33 Diani Beach Road,-4.310713,39.5753005
BAALI DIANI APARTMENTS,Holiday apartment rental,"PH7H+QPM, Diani Beach",-4.2852028,39.5794518
"Bella Seaview, 4x serviced apartments on Diani Beach, Kenya",Serviced accommodation,Diani Beach Road,-4.2971361,39.5824229
Darad Apartments,Homestay,PH9F+7CR,-4.2817626,39.573523
Tawi Apartments,Apartment building,"PH79+HC9, Near Ukunda Secondary School, Ukunda-Ramisi Rd",-4.2860852,39.5686179
Langai Villa,Apartment complex,,-4.3356577,39.5514883
Agape Apartments diani,Apartment building,airport street,-4.3019197,39.5657654
GFC Apartments,Apartment complex,"Kibundani, Ukunda-Ramisi Rd",-4.2923956,39.5585439
Pine Grove Apartments,Apartment complex,MHX2+2QQ,-4.302412,39.5519974
Beach Valley Apartment Diani,Apartment building,"PH3G+G89, Diani Link Rd",-4.2962078,39.5758749
Sunset Apartment Ukunda,Apartment building,"PH78+MRC, Next To St. Joseph's Primary School, Ukunda-Ramisi Rd",-4.2858102,39.5670157
Simba Village Apartments,Apartment building,"Ukunda, Diani Beach Road",-4.3044791,39.5789711
Rindig Apartment,Apartment building,"PH2F+G3P, Near Ukunda Airstrip, Diani Airstrip Road, Ukunda",-4.2986616,39.5727059
Apple Mango Apartments,3-star hotel,,-4.3077555,39.5771937
STEVE'S RESIDENTIAL APARTMENTS,Apartment building,"PHG9+J2J, Ukunda-Ramisi Rd",-4.2734038,39.5675133
CORAL BEACH COTTAGES & APARTMENTS,Conference center,Diani Beach Road,-4.2888423,39.5877543
Diani budget homes,Apartment building,,-4.2879617,39.5652842
Nyakwar Odero apartments,Apartment building,MHV5+3FX,-4.3072725,39.5587417
INSIGHT HAVEN,Apartment building,MHX7+27,-4.3025232,39.5630654
Kepha apartment,Apartment building,PH68+R47,-4.2879617,39.5652842
Ideal Apartments,Apartment building,"PH99+J68, A14",-4.2809661,39.5680796
Tamasha Garden Villas,Apartment building,PH9C+9WP,-4.2815392,39.572314
DALLAS APARTMENTS,Apartment building,PH7J+9HV,-4.2865092,39.5814206
Tranquil Terrace Cottages Diani,Furnished apartment building,PH6G+84,-4.2891101,39.5753426
Alice Maundu home,Apartment complex,MHX6+WW7,-4.3002215,39.5623007
The Nest Apartments,Apartment building,"PH8H+GGV, Unnamed Road",-4.2836309,39.5787872
Stockholm apartments Diani,Apartment building,PH7H+QPM,-4.2855492,39.5793041
Cyrah Apartment,Apartment building,MHG5+X35,-4.3232003,39.5573522
Jam Jam Apartment,Apartment building,"PH26+JPJ, Near Dola Depot, Ukunda-Ramisi Rd",-4.2984162,39.5617734
Tandoori Villas And Apartments,Apartment building,"MHMC+HX5, Diani Beach Road",-4.316112,39.5724957
DIANI AIRPORT VIEW APARTMENTS,Apartment building,MHXF+W57,-4.3002006,39.5729339
Wayside Beach Apartments,Holiday apartment,Diani Beach Road,-4.304195,39.5802339
Ndoto Apartment Diani,Apartment building,PH7F+XWX,-4.2850062,39.5748489
Little star apartment,Apartment building,PH9G+P56,-4.2810445,39.5755688
Savannah Sunset Long Term Homes Diani,Holiday apartment rental,Diani Beach Road,-4.2674454,39.5915686
Fairview apartments,Apartment building,"MHV2+XC7, Unnamed Road",-4.3050877,39.5510599
Leshons Apartments,Apartment building,"PG7Q+97M, Diani",-4.2865416,39.5381684
Orange House,Apartment building,"PHMF+263, Near Gobato Secondary School, Off Ukunda - Ramisi Road, Ukunda",-4.2674753,39.573042
Diani Beach South Retreat,Short term apartment rental agency,PH8H+VPC,-4.2828125,39.5793125
Double A apartment,Apartment building,PH9F+7CR,-4.2817664,39.5735233
T's Apartment,Apartment building,MHQ4+GJW,-4.3111372,39.556578
Coco's Paradise Cottages & Apartments,Apartment building,"Zara house, Diani, Diani Beach Road Kwitu Cottage Road, near",-4.2668652,39.5936758
Jo's Baobab Luxury Apartments,Furnished apartment building,Near Diani Beach Road Google Plus Code: MH44+QWJ Diani Beach,-4.3430625,39.5573125
Hadidah homes,Apartment building,MGHR+RM4,-4.3204809,39.5417156
"Villa UZURI, Diani Beach, Ukunda",Apartment building,"Diani Beach Road, Diani Beach",-4.3333264,39.5565408
Nieyela luxury apartments,Apartment building,PH8F+HMQ,-4.2829211,39.5736799
FBI,Apartment building,MHW5+3C6,-4.3048266,39.5585164
Elyon A Apartments,Apartment complex,"left Last Moran, 1 Ukunda-Ramisi Rd",-4.3091388,39.5545308
Haorora Apptments Diani Beach Ukunda,Apartment rental agency,Diani +254-727438081,-4.2854589,39.574036
Baharini Holiday Apartments,Holiday apartment,"MHVG+9G4, Off Diani Beach Road",-4.3066244,39.5763359
Sun House,Apartment building,MHR5+P2G,-4.3090856,39.5580883
Diani Ukunda Holiday Homes,3-star hotel,,-4.3137614,39.5530727
Mischek's Apartments,Apartment building,PH9F+Q76,-4.2799291,39.5732372
Laban House,Apartment building,MGVX+F68,-4.3065532,39.5495789
"Binnah Apartment -Ukunda Showground next to Kenya National Library Services ,Kwale Branch",Apartment building,PH7C+XC7,-4.2850977,39.5710477
"Ukunda, kenya",Apartment building,"PH97+HX7, Ramisi",-4.2810984,39.5649284
Chrystal Baharini Beachfront Studio Suites at Golden Sun Resort,Furnished apartment building,Diani Beach Road,-4.2695666,39.5978437
Diani Paradise Villas,Apartment building,,-4.2946059,39.579947
HAVEN HOMES DIANI,Apartment complex,80401 Diani Beach Road,-4.3087951,39.5770856
Maisha Matamu Appartments,Apartment rental agency,PHFW+C7Q Diani Beach,-4.2764093,39.5957405
Diani Airbnb Tribe,Travel agency,,-4.3007539,39.5761107
The Ng'ethe Apartment,Apartment complex,MHV4+MQ5,-4.3066868,39.5569255
Bora Apartment,Apartment building,PH8H+MGX,-4.2832643,39.578874
Tornson Agencies,Apartment rental agency,"Siku Njema Plaza, Ukunda-Ramisi Rd",-4.2871515,39.5658846
Kenia,Apartment complex,PH77+VJX,-4.2852729,39.5641079
Costa Sur Complex,Apartment complex,"MHVH+78M, Diani Beach Road",-4.3067857,39.5783046
jojoanca appartments,Apartment building,"PH89+QVR, Diani Link Rd",-4.2830019,39.5696551
SELINE Apartment Building LTD,Apartment building,Beach Rd,-4.309989,39.554629
Apartments,Furnished apartment building,Diani Beach Road,-4.3087951,39.5770856
Sajjo homes Kona musa,Apartment complex,Kona musa,-4.3177827,39.5588473
Kizuri Home,Furnished apartment building,"PHGV+878, Diani Beach Hospital Rd",-4.2742045,39.593195
Pinky Gabbana Residence,Apartment building,"Tukutane, Ukunda-Ramisi Rd",-4.2732328,39.5673126
Melisa,Apartment building,PH68+R47,-4.2879617,39.5652842
HAVEN HOMES DIANI,Apartment complex,,-4.2966158,39.5337278
Caren's Park - Mvindeni,Apartment building,,-4.3147887,39.5438104
K'Shaven,Apartment building,PH7G+5GP,-4.2868887,39.575711
Marco Polo apartments,Apartment building,MHW2+C3P,-4.3039047,39.5502084
Diani Prestige Apartments,Apartment building,,-4.2841844,39.5709878
Imani Appartments,Apartment building,MHVG+R63,-4.3054926,39.5755456
WABO Paradise - Diani,Apartment building,PH8F+WG6,-4.2827001,39.5737717
"PH7C+JCR Ukunda, Kenya",Apartment building,PH7C+JCR,-4.2858875,39.5710156
Ronn Apartment,Apartment building,MGVX+V8F,-4.3053018,39.5482958
The Ark Homes,Apartment building,PH68+R47,-4.2879617,39.5652842
Tropical breeze apartments,Apartment building,"PH5J+CFC, Unnamed Road",-4.2914283,39.5811311
Germano Cottages Garden and Pool,Hotel,,-4.2878614,39.5766889
Executive studios diani,Apartment building,PHFM+WJW,-4.275145,39.5840698
Dolphin residence,Apartment building,MHR4+922,-4.3101941,39.5551859
Lillesand apartments,Apartment building,"Apartments, lillesand soko mpya",-4.3102823,39.5473517
Boma Banda Diani,Cottage rental,,-4.3054548,39.579237
DUBS HOMES AND PROPERTIES LTD,Corporate office,Ukunda-Ramisi Rd,-4.4643125,39.4720625
The Sun,Apartment building,MHXF+JPH,-4.3009341,39.5743744
Kwa governor,Apartment building,PG2X+856,-4.299224,39.5478845
Ali's Plaza,Apartment complex,Diani Beach Road,-4.2776568,39.5912048
King's villa,Apartment building,PH25+W5F,-4.2980024,39.5585452
